Symbol,Date,Open,High,Low,Close
KSE-100,01-Jan-16,32841.49,33256.85,32829.89,33228.95
KSE-100,04-Jan-16,33261.16,33304.53,32968.4,33009.13
KSE-100,05-Jan-16,32804.33,33027.33,32513.65,32983.47
KSE-100,06-Jan-16,33036.63,33123.53,32930.37,32968.26
KSE-100,07-Jan-16,32871.54,32920.12,32651.72,32682.5
KSE-100,08-Jan-16,32716.16,32775.67,32476.42,32534.85
KSE-100,11-Jan-16,32544.54,32555.21,32290.31,32320.05
KSE-100,12-Jan-16,32275.02,32331.41,32005.22,32265.65
KSE-100,13-Jan-16,32323.39,32484.44,32062.08,32154.17
KSE-100,14-Jan-16,32093.21,32093.21,31364.13,31441.02
KSE-100,15-Jan-16,31501.67,31637.22,30885.88,31001.49
KSE-100,18-Jan-16,30814.13,30814.13,29784.6,30628.4
KSE-100,19-Jan-16,30685.33,31136.3,30549.86,31092.61
KSE-100,20-Jan-16,30969.53,30969.53,30689.84,30766.01
KSE-100,21-Jan-16,30808.38,31029.17,30705.53,30751.8
KSE-100,22-Jan-16,30903.93,30999.05,30815.07,30949.03
KSE-100,25-Jan-16,31089.65,31322.59,30978.4,31065.13
KSE-100,26-Jan-16,30962.95,31140.11,30884.93,31074.38
KSE-100,27-Jan-16,31182.76,31386.35,31064.91,31101.38
KSE-100,28-Jan-16,31201.94,31247.85,31051.68,31193.73
KSE-100,29-Jan-16,31281.78,31461.52,31260.16,31298.6
KSE-100,01-Feb-16,31310.67,31891.47,31285.18,31878.15
KSE-100,02-Feb-16,31884.86,32174.16,31866.77,31960.61
KSE-100,03-Feb-16,31886.11,32183.94,31776.68,32084.06
KSE-100,04-Feb-16,32221.79,32504.27,32221.79,32478.98
KSE-100,08-Feb-16,32474.6,32851.23,32461.91,32706.22
KSE-100,09-Feb-16,32716.32,32717.41,32421.02,32444.2
KSE-100,10-Feb-16,32376.18,32464.54,32104.55,32144.59
KSE-100,11-Feb-16,32119.68,32205.46,31782.55,31820.54
KSE-100,12-Feb-16,31838.37,31913.27,31389.2,31464.16
KSE-100,15-Feb-16,31669.32,31970.85,31669.32,31928.15
KSE-100,16-Feb-16,32052.99,32159.26,31608.7,31673.16
KSE-100,17-Feb-16,31705.86,31705.86,31334.41,31469.7
KSE-100,18-Feb-16,31590.75,31707.89,31249.36,31282.44
KSE-100,19-Feb-16,31295,31295,30946.36,31011.77
KSE-100,22-Feb-16,31027.35,31064.95,30599.74,30677.68
KSE-100,23-Feb-16,30731.01,30841.73,30275.61,30564.5
KSE-100,24-Feb-16,30506.85,30898.3,30474.37,30786.6
KSE-100,25-Feb-16,30828.91,30937.35,30712.85,30802.53
KSE-100,26-Feb-16,30856.24,31329.74,30856.24,31294.08
KSE-100,29-Feb-16,31303.18,31434.61,31219.14,31369.51
KSE-100,01-Mar-16,31384.67,31538.65,31321.7,31509.11
KSE-100,02-Mar-16,31575.34,31876.82,31575.34,31772.9
KSE-100,03-Mar-16,31859.4,32234.51,31859.4,32146.58
KSE-100,04-Mar-16,32214.02,32480.44,32214.02,32441.74
KSE-100,07-Mar-16,32463.9,33030.29,32463.9,33022.6
KSE-100,08-Mar-16,33040.78,33211.47,32933.13,33032.85
KSE-100,09-Mar-16,33025.8,33086.66,32892.35,32957.98
KSE-100,10-Mar-16,32968.56,33080.68,32671.23,32710.56
KSE-100,11-Mar-16,32733.22,32758.36,32523.19,32669.16
KSE-100,14-Mar-16,32699.04,32878.78,32699.04,32738.56
KSE-100,15-Mar-16,32749.23,32769.18,32585.04,32623.02
KSE-100,16-Mar-16,32661.76,32941.44,32656.84,32891.08
KSE-100,17-Mar-16,32910.94,33116.26,32910.94,32957.75
KSE-100,18-Mar-16,32968.58,33145.62,32942.26,33080.4
KSE-100,21-Mar-16,33081.69,33166.82,33000.12,33022.87
KSE-100,22-Mar-16,33076.79,33191.08,32868.07,32928.3
KSE-100,24-Mar-16,32870.87,32942.02,32778.41,32801.88
KSE-100,25-Mar-16,32807.29,32906.98,32777.11,32876.55
KSE-100,28-Mar-16,32835,32988.18,32735.4,32904.32
KSE-100,29-Mar-16,32919.76,33000.97,32854.32,32879.67
KSE-100,30-Mar-16,32883.35,32998.54,32863.03,32922.4
KSE-100,31-Mar-16,32922.57,33189.03,32910.47,33139
KSE-100,01-Apr-16,33129.75,33468.67,33121.81,33449.62
KSE-100,04-Apr-16,33458.58,33829.42,33371.13,33808.42
KSE-100,05-Apr-16,33821.36,33951.66,33713.84,33766.49
KSE-100,06-Apr-16,33812.58,34033.21,33812.58,33946.37
KSE-100,07-Apr-16,33992.08,34058.28,33870.51,33896.03
KSE-100,08-Apr-16,33893.72,33994.27,33875.62,33967.54
KSE-100,11-Apr-16,34084.78,34154.7,33547.23,33566.22
KSE-100,12-Apr-16,33578.03,33675.59,33415.89,33616.9
KSE-100,13-Apr-16,33676.66,33785.64,33471.92,33646.1
KSE-100,14-Apr-16,33672.92,33814.96,33605.63,33767.59
KSE-100,15-Apr-16,33784.75,33917.55,33736.69,33767.12
KSE-100,18-Apr-16,33700.47,33832.85,33631.65,33759.97
KSE-100,19-Apr-16,33763.08,33887.95,33676.52,33729.62
KSE-100,20-Apr-16,33742.16,33757.48,33599.45,33619.84
KSE-100,21-Apr-16,33722.18,33917.26,33493.54,33572.13
KSE-100,22-Apr-16,33603.71,33848.68,33593.96,33739.54
KSE-100,25-Apr-16,33743.67,33785.82,33498.75,33684.56
KSE-100,26-Apr-16,33720.7,34027.62,33702.78,33847.74
KSE-100,27-Apr-16,33914.03,34307.3,33914.03,34269.28
KSE-100,28-Apr-16,34347.13,34580.97,34347.13,34503.64
KSE-100,29-Apr-16,34591.87,34882.47,34457.85,34719.29
KSE-100,02-May-16,34727.2,34806.66,34488.5,34567.52
KSE-100,03-May-16,34562.22,34925.42,34473.89,34897.3
KSE-100,04-May-16,34916.96,35441.03,34916.96,35317.56
KSE-100,05-May-16,35358.93,35971.66,35358.93,35941.47
KSE-100,06-May-16,36010.76,36203.51,35831.4,35973.68
KSE-100,09-May-16,36089.7,36305.24,36089.7,36234.99
KSE-100,10-May-16,36179.68,36340.47,36037.02,36265.12
KSE-100,11-May-16,36329.93,36412.83,36230.25,36266.23
KSE-100,12-May-16,36352.19,36450.85,36011.96,36048.76
KSE-100,13-May-16,36063.15,36123.36,35957.09,36122.49
KSE-100,16-May-16,36200.85,36242.63,36088.06,36125.37
KSE-100,17-May-16,36203.18,36390.41,36100.02,36137.12
KSE-100,18-May-16,36198.13,36366.2,36180.5,36318.21
KSE-100,19-May-16,36316.89,36809.31,36306.13,36685.05
KSE-100,20-May-16,36684.13,36848.37,36646.97,36693.5
KSE-100,23-May-16,36717.01,36752.62,36432.15,36723.35
KSE-100,24-May-16,36727.32,36794.49,36553.15,36582.35
KSE-100,25-May-16,36667.08,36767.24,36483.21,36499.43
KSE-100,26-May-16,36509.46,36686.12,36461.95,36540.97
KSE-100,27-May-16,36549.96,36776.52,36531.41,36694.26
